start_time,game_status,home_team,away_team,score_home,score_away,league
15:10, ,Енисей,Химки,-,-,РОССИЯ:Единая лига ВТБ
14:15, ,Иркут,Урал Екатеринбург,-,-,РОССИЯ:Суперлига
15:30, ,Новосибирск,Университет-Югра,-,-,РОССИЯ:Суперлига
18:00, ,Самара-СГЭУ,Burevestnik Jaroslav,-,-,РОССИЯ:Суперлига
18:00, ,ЦСКА Москва 2,Химки-Подмосковье,-,-,РОССИЯ:Суперлига
03:00,Завершен,Миннесота Тимбервулвз,Милуоки Бакс,107,125,США:НБА - Предсезонка
04:00,Завершен,Портленд Трэйл Блэйзерс,Юта Джаз,112,123,США:НБА - Предсезонка
15:00, ,Филадельфия Сиксерс,Даллас Маверикс,-,-,США:НБА - Предсезонка
21:45, ,Levallois,Гравелин,-,-,ФРАНЦИЯ:ЛНБ
03:30,Завершен,Регатас,Эстудиантес,69,67,АРГЕНТИНА:Торнео Супер 20
18:00,TKP,Бахрейн Клуб,Аль-Манама,-,-,БАХРЕЙН:Премьер-Лига
19:45,TKP,Ситра Клуб,Аль-Иттихад,-,-,БАХРЕЙН:Премьер-Лига
19:30, ,Баккен Беарз,EBAA,-,-,ДАНИЯ:Лига
19:00, ,Цибона,Игокея,-,-,ЕВРОПА:НЛБ
18:00, ,Cukurova Univ. (Ж),Надежда (Ж),-,-,ЕВРОПА:Евролига - Женщины - Квалификация
21:00, ,Герника Бискайя (Ж),Намур (Ж),-,-,ЕВРОПА:Еврокубок - Женщины - Квалификация
21:05, ,Хапоэль Беер Шева,Галиль Эльон,-,-,ИЗРАИЛЬ:Суперлига
18:30, ,Agronomia Bucuresti,Aurel Vlaicu,-,-,РУМЫНИЯ:Дивизион А - Первый этап
19:00, ,Орадя,Тимишоара,-,-,РУМЫНИЯ:Дивизион А - Первый этап
02:00,TKP,Католика,Бостон,-,-,ЧИЛИ:ЛНБ
02:00,Завершен,Лас Анимас,Анкуд,87,85,ЧИЛИ:ЛНБ
02:00,TKP,Леонес Кильпе,Пуэнте Альто,-,-,ЧИЛИ:ЛНБ
02:00,Завершен,Осорно,Депортес Кастро,79,99,ЧИЛИ:ЛНБ
