away_team,game_status,home_team,league,score,start_time
Лестер, ,Арсенал,АНГЛИЯ:Премьер-лига,-,22:00
Жирона, ,Реал Сосьедад,ИСПАНИЯ:Примера,-,22:00
Сассуоло, ,Сампдория,ИТАЛИЯ:Серия А,-,21:30
Тирана, ,Флямуртари,АЛБАНИЯ:Суперлига,-,19:00
Бенфика (Б), ,Брайтон U23,АНГЛИЯ:Международный кубок Премьер-лиги,-,21:00
Расинг, ,Сан-Мартин Тукуман,АРГЕНТИНА:Суперлига,-,02:00
Гомель, ,Луч Минск,БЕЛАРУСЬ:Высшая лига,-,19:00
Берое, ,Витоша Бистрица,БОЛГАРИЯ:Первая лига,-,20:00
Хорхе Вильстерманн,74 ,Сан-Хосе,БОЛИВИЯ:Division Profesional - Клаусура,1 - 0,00:15
Ориенте Петролеро, ,Спортс Бойс,БОЛИВИЯ:Division Profesional - Клаусура,-,02:30
Шапекоэнсе,Перерыв,Крузейро,БРАЗИЛИЯ:Чемпионат Бразилии,3 - 0,01:00
Фламенго,Перерыв,Парана,БРАЗИЛИЯ:Чемпионат Бразилии,0 - 1,01:00
Санкт-Паули, ,Дуйсбург,ГЕРМАНИЯ:Вторая Бундеслига,-,21:30
Гибралтар Юнайтед, ,Линкольн Сити,ГИБРАЛТАР:Премьер-Дивизион,-,21:30
Хутикальпа,Перерыв,Олимпия,ГОНДУРАС:Национальная лига - Апертура,0 - 0,01:00
Марафон,Перерыв,Real de Minas,ГОНДУРАС:Национальная лига - Апертура,2 - 1,01:00
Астерас, ,Атромитос,ГРЕЦИЯ:Суперлига,-,18:59
Оденсе, ,Брённбю,ДАНИЯ:Суперлига,-,20:00
Израиль U17 (Ж), ,Россия U17 (Ж),ЕВРОПА:Женский чемпионат Европы до 17 лет - Первый этап,-,12:30
Албания U17 (Ж), ,Ирландия U17 (Ж),ЕВРОПА:Женский чемпионат Европы до 17 лет - Первый этап,-,13:00
Черногория U17 (Ж), ,Италия U17 (Ж),ЕВРОПА:Женский чемпионат Европы до 17 лет - Первый этап,-,13:00
Финляндия U17 (Ж), ,Румыния U17 (Ж),ЕВРОПА:Женский чемпионат Европы до 17 лет - Первый этап,-,13:00
Хорватия U17 (Ж), ,Норвегия U17 (Ж),ЕВРОПА:Женский чемпионат Европы до 17 лет - Первый этап,-,15:00
Сербия U17 (Ж), ,Уэльс U17 (Ж),ЕВРОПА:Женский чемпионат Европы до 17 лет - Первый этап,-,18:00
Маккаби Нетания, ,Маккаби Хайфа,ИЗРАИЛЬ:Суперлига,-,21:00
Бангалор, ,Пуна Сити,ИНДИЯ:Суперлига,-,17:00
Дерри Сити, ,Брей Уондерерс,ИРЛАНДИЯ:Премьер-Дивизион,-,21:45
Богемианс, ,Слайго Роверс,ИРЛАНДИЯ:Премьер-Дивизион,-,21:45
Ливорно, ,Беневенто,ИТАЛИЯ:Серия В,-,22:00
Ольбия, ,Каррарезе,ИТАЛИЯ:Серия C - Группа A,-,21:30
Пиза, ,Гоццано,ИТАЛИЯ:Серия C - Группа A,-,21:45
Виртус Франкавилла, ,Реджина 1914,ИТАЛИЯ:Серия C - Группа C,-,15:30
Алки Ороклини, ,Пафос,КИПР:Первый дивизион,-,19:00
Агилас Дорадас,Завершен,Америка Де Кали,КОЛУМБИЯ:Примера - Клаусура,2 - 1,00:00
Хуниор,38 ,Атлетико Насьональ,КОЛУМБИЯ:Примера - Клаусура,0 - 0,01:15
Депортиво Кали, ,Петролера,КОЛУМБИЯ:Примера - Клаусура,-,02:00
Мильонариос, ,Энвигадо,КОЛУМБИЯ:Примера - Клаусура,-,04:00
Алахуэленсе,Перерыв,Саприсса,КОСТА-РИКА:Высший дивизион - Апертура,2 - 1,01:00
