start_time,game_status,home_team,away_team,score_home,score_away,league
15:00,Завершен,Айсбарен Берлин,Ингольштадт,1,3,ГЕРМАНИЯ:ДЕЛ
15:00,Завершен,Кёльнер Хайе,Адлер Мангейм,2,4,ГЕРМАНИЯ:ДЕЛ
17:30,Перерыв,Исерлон,Стробинг Тайгерз,2,1,ГЕРМАНИЯ:ДЕЛ
17:30,Перерыв,Мюнхен,Дюссельдорф,4,3,ГЕРМАНИЯ:ДЕЛ
17:30,Перерыв,Нюрнберг Айс Тайгерс,Крефельд,3,1,ГЕРМАНИЯ:ДЕЛ
18:00,"2-й период
 2 ",Швеннингер,Бремерхавен,1,2,ГЕРМАНИЯ:ДЕЛ
20:00, ,Аугсбюргер,Вольфсбург,-,-,ГЕРМАНИЯ:ДЕЛ
15:00,Завершен,Автомобилист,Салават Юлаев,1,0,РОССИЯ:КХЛ
15:00,Завершен,Металлург Магнитогорск,Сибирь,0,2,РОССИЯ:КХЛ
17:00,"3-й период
 5 ",Динамо Минск,Северсталь,1,1,РОССИЯ:КХЛ
17:00,"3-й период
 5 ",Динамо Рига,Адмирал,1,0,РОССИЯ:КХЛ
17:00,"3-й период
 13 ",ЦСКА,Амур,4,0,РОССИЯ:КХЛ
17:30,"2-й период
 14 ",Авангард,Барыс,2,1,РОССИЯ:КХЛ
17:30,Перерыв,Динамо Москва,Локомотив,0,1,РОССИЯ:КХЛ
18:00,"2-й период
 4 ",Слован Братислава,Куньлунь РС,0,0,РОССИЯ:КХЛ
01:00,"После
овертайма",Миннесота,Каролина,4,5,США:НХЛ
02:00,Завершен,Вашингтон,Торонто,2,4,США:НХЛ
02:00,"После
буллитов",Монреаль,Питтсбург,4,3,США:НХЛ
02:00,Завершен,Тампа-Бэй,Коламбус,8,2,США:НХЛ
02:00,Завершен,Флорида,Ванкувер,2,3,США:НХЛ
03:00,Завершен,Даллас,Анахайм,5,3,США:НХЛ
03:00,Завершен,Нэшвилл,Айлендерс,5,2,США:НХЛ
03:30,"После
овертайма",Чикаго,Сент-Луис,4,3,США:НХЛ
04:00,Завершен,Аризона,Баффало,0,3,США:НХЛ
05:00,"После
овертайма",Колорадо,Калгари,2,3,США:НХЛ
20:00, ,Нью-Джерси,Сан-Хосе,-,-,США:НХЛ
16:30,"3-й период
 20 ",Хомутов,Злин,3,1,ЧЕХИЯ:Экстралига
17:00,"3-й период
 1 ",Витковице,Комета Брно,2,2,ЧЕХИЯ:Экстралига
17:00,"3-й период
 4 ",Либерец,Литвинов,4,0,ЧЕХИЯ:Экстралига
17:00,"3-й период
 11 ",Млада Болеслав,Оломоуц,1,2,ЧЕХИЯ:Экстралига
19:20, ,Плзень,ХК Маунтфилд,-,-,ЧЕХИЯ:Экстралига
18:30,"1-й период
 18 ",Грац,Фехервар,0,0,АВСТРИЯ:ОЕЛ
18:30,"1-й период
 18 ",Зноймо,Вена Кэпиталз,0,1,АВСТРИЯ:ОЕЛ
18:30,"1-й период
 17 ",Клагенсфюрт,Иннсбрук,1,0,АВСТРИЯ:ОЕЛ
18:30,"1-й период
 15 ",Линц,Филлах,1,0,АВСТРИЯ:ОЕЛ
18:30,"1-й период
 18 ",Ред Булл Зальцбург,Медвешчак Загреб,1,0,АВСТРИЯ:ОЕЛ
19:00, ,Больцано,Дорнбирн,-,-,АВСТРИЯ:ОЕЛ
09:10,Завершен,Сахалин,Тохоку,5,0,АЗИЯ:Азиатская лига
09:30,Завершен,Аньянг,Ниппон,2,0,АЗИЯ:Азиатская лига
18:20,"1-й период
 20 ",Белфаст Джайантс,Ноттингем,0,1,ВЕЛИКОБРИТАНИЯ:Элитная лига
19:00, ,Данди Старс,Брехэд Клэн,-,-,ВЕЛИКОБРИТАНИЯ:Элитная лига
19:15, ,Ковентри Блэйз,Манчестер,-,-,ВЕЛИКОБРИТАНИЯ:Элитная лига
20:00, ,Гилдфорд Флеймс,Файв Флайерс,-,-,ВЕЛИКОБРИТАНИЯ:Элитная лига
19:15, ,Милтон Кейнс,Кардифф Дэвилз,-,-,ВЕЛИКОБРИТАНИЯ:Challenge Cup
17:00,"3-й период
 11 ",Брашов,Уйпешт,0,2,ВЕНГРИЯ:Erste Liga
18:30,"1-й период
 16 ",Меркуря-Чук,ДАБ,1,1,ВЕНГРИЯ:Erste Liga
19:00, ,Ференцварош,Gyergyoi,-,-,ВЕНГРИЯ:Erste Liga
19:50, ,Вена Кэпиталз II,DEAC,-,-,ВЕНГРИЯ:Erste Liga
18:00,"2-й период
 5 ",Дрезднер Айсловен,Кауфбойрен,1,1,ГЕРМАНИЯ:Вторая Бундеслига
18:00,"2-й период
 3 ",Кримитшау,Вольф Фрайбург,1,1,ГЕРМАНИЯ:Вторая Бундеслига
19:30, ,Bayreuth,Кассель,-,-,ГЕРМАНИЯ:Вторая Бундеслига
19:30, ,Нойхайм,Деггендорфер,-,-,ГЕРМАНИЯ:Вторая Бундеслига
19:30, ,Тольцер Левен,Франкфурт Лайонс,-,-,ГЕРМАНИЯ:Вторая Бундеслига
19:30, ,Хейлбронер,Лаузитцер Фюкзе,-,-,ГЕРМАНИЯ:Вторая Бундеслига
16:00,"После
овертайма",Трапперс Тилбург,Крокодилес Гамбург,4,3,ГЕРМАНИЯ:Оберлига Север
17:00,TKP,Пройссен,Фухзе Дуйсбург,-,-,ГЕРМАНИЯ:Оберлига Север
17:00,TKP,Эрфурт,Гернер,-,-,ГЕРМАНИЯ:Оберлига Север
19:15,TKP,Халле,Лейпциг,-,-,ГЕРМАНИЯ:Оберлига Север
